#ato_user_class,Departure,Arrival,Fraction,Bada_Type,Cruise_Tas,Cruise_Altitude,Duration,Waypoints
U Border Patrol - Southwest Border Region,FHU,FHU,0.4,RP01,209.0,30.0,6.0,2006/6721 1973/6715 1953/6698 1943/6690
U Border Patrol - Southwest Border Region,FHU,FHU,0.2,RP02,212.0,40.0,12.0,1973/6715 1953/6698 1943/6690 1934/6671 1926/6655
U Border Patrol - Southwest Border Region,FHU,FHU,0.4,RP02,212.0,40.0,12.0,
